origin,dest,count
12095,12095,32026.181457656738
6037,6037,12316.936907476993
12095,12097,8950.925470398217
6059,6059,8538.762040631402
6059,6037,7497.513131176659
12095,12105,5879.849217737115
12095,12086,5296.1942049968675
12095,12117,4697.811926552672
12095,12057,4311.650940649867
12095,12011,4216.36506696283
12095,12069,3795.732058497478
48029,48029,3275.949387786549
12095,12009,2988.148273854976
12095,12099,2772.163862947596
6059,6065,2664.639807372271
4013,4013,2406.4942968925
6065,6065,2361.881660326631
48439,48439,2300.403909389867
17031,17031,2274.203679215588
6059,6071,2266.540762732836
12095,12127,2092.29381149167
6071,6071,1975.5864062527094
17097,17097,1877.9900911833483
12095,12103,1875.1944025499215
6059,6073,1828.6129374300915
34025,34025,1824.9850222010755
12095,12031,1758.1196089412754
40109,40109,1649.5451963353305
12095,12101,1547.756646457167
48201,48201,1465.5580688201464
6073,6073,1460.4650196478435
32003,32003,1418.7542090383015
6067,6067,1387.247364748699
17097,17031,1250.1275177259945
12095,12071,1236.4399036113175
12057,12057,1229.2293630430902
18097,18097,1154.3198363128927
48113,48113,1122.8586448158364
36067,36067,1116.8942621546448
53033,53033,1092.020388928616
6075,6075,987.5235910044411
6037,6059,956.0568285323272
36047,36047,944.4822352085453
12095,12109,943.5670865839733
6059,4013,938.1848609136653
12095,48201,933.3462712689327
36081,36081,923.556826799512
48439,48113,918.4987067450093
17043,17043,896.4933854377115
12095,12081,883.5430257338256
12095,17031,840.6620596620874
6071,6037,833.8768108565806
12095,12083,802.4733769849812
36059,36059,769.7764702683622
47155,47093,764.8089973753305
53053,53053,758.3702662288208
12095,12001,736.2239104429456
47155,47155,736.1945672145392
49035,49035,725.0850969187753
12095,12115,714.4349905213362
12095,36103,710.764788658208
13185,13185,698.1526025594995
12086,12086,669.5495478588891
48061,48061,666.4946387256023
12095,12111,659.5677955801411
12095,37183,633.7370077839478
6037,6071,629.2193611533646
12095,12019,627.2328525834672
34025,34029,579.8084580694042
12011,12011,578.9389230145202
6059,32003,561.1894071659747
4019,4019,557.8855285928247
12095,13121,552.9461085436951
36061,36061,547.8547439207437
12095,13067,546.6277863489428
12095,13135,545.3269553088467
12095,36059,534.6415574794862
41067,41067,500.48720021796214
6037,6111,498.2346151522012
12095,12073,491.9928826649077
15003,15003,485.42693749540535
12095,12021,480.6570693154992
25017,25017,476.06652779475814
6019,6019,468.811657998564
55079,55079,465.6429978798062
6059,6111,461.7118365045321
27053,27053,457.56778770435545
12095,36061,457.42794359949784
6037,6065,453.00047617298577
36103,36103,448.99896049054877
34025,34023,438.64638631460167
6085,6085,438.3064775819426
48439,48121,436.5626358614721
40027,40027,429.9319407715962
48453,48453,422.3389241969443
26163,26163,420.88394637559196
12095,13117,418.1242628880236
6053,6053,415.2533133425215
12095,34025,411.99177369899917
12095,12053,410.7838591617672
12095,37119,405.3947019956548
12095,26125,401.6315836296626
24031,24031,397.5987709326081
48439,48085,392.52617130046224
12095,25017,392.3863915946942
12095,6037,389.64535476020586
16001,16001,385.99746694258215
12095,48439,384.95307136557363
12095,34029,381.97974327392546
6037,6073,381.7150807724585
19153,19153,378.25828606428337
48479,48479,377.71383481368815
40109,40017,376.5016975789009
42101,42101,375.55881899878
12103,12103,367.10116335113435
6059,6085,363.55559979874437
12095,1073,361.9562369067324
12057,12101,357.40531380499567
12095,12085,354.47645842618005
12095,12061,350.8527148144837
12095,42003,350.01646628870765
6029,6029,347.0072203115604
13067,13067,341.1658763253679
12095,48029,340.4925247451472
12095,42091,340.0744004822592
12095,34023,338.95940244789114
48029,48201,335.63397560157034
17043,17031,335.41814990087687
