origin,dest,count
6037,6037,11203.231886625825
36061,36061,5666.915609200195
17031,17031,5185.476657505539
48201,48201,4331.624808867547
4013,4013,4123.673268421439
6073,6073,3294.552320450582
49035,49035,3181.540454639806
12086,12086,3073.8345594131097
36047,36047,2883.71263747485
53033,53033,2815.009814728473
6059,6059,2686.8271429427077
42101,42101,2466.602009258733
48029,48029,2456.158565212798
42003,42003,2284.786624535241
6085,6085,2019.3947168549635
48113,48113,1951.2034420752527
48041,48041,1945.6724167655545
6071,6071,1879.7716285701508
48439,48439,1830.8256871450437
15003,15003,1787.6832341167392
36103,36103,1589.1837554276474
6001,6001,1582.1685632383435
47157,47157,1549.90362799482
12057,12057,1546.9025784817588
12099,12099,1530.9468277538135
32003,32003,1480.9369027640375
1073,1073,1407.4114604133613
36061,36047,1387.1849032436041
22055,22055,1376.489594850878
12011,12011,1357.7917865141092
6065,6065,1347.013763175141
36081,36081,1336.7748978161812
12095,12095,1268.713203994423
39049,39049,1265.5744602864904
25017,25017,1259.9748592751814
21067,21067,1252.543614808998
36061,36081,1232.6162990430505
13135,13135,1222.9455192968162
49049,49049,1208.3498859946048
39035,39035,1157.5739033071552
1125,1125,1150.3500378873673
37119,37119,1133.0974697744412
36005,36005,1114.1294462644933
40109,40109,1091.2628255893312
25025,25025,1081.6970726179213
37183,37183,1077.3959149676773
48491,48491,1075.0748732276757
40143,40143,1068.0429185253236
6075,6075,1027.6839042508734
13121,13121,996.3688837232007
36059,36059,994.730032715317
9009,9009,968.1394890143524
26099,26099,965.0527479660913
12033,12033,952.965132791508
48453,48453,949.841592338038
6067,6067,935.546242346884
48141,48141,917.7151285890133
26163,26163,906.9681755843724
12031,12031,899.9642399964038
26125,26125,888.0336420774361
36029,36029,883.0972885541589
5143,5143,851.7715687386134
12083,12083,838.5859780482898
21111,21111,832.4586232565371
24031,24031,829.1435829062044
29095,29095,814.9634940812872
29189,29189,798.1186829977369
48355,48355,796.169355149886
6013,6013,793.3821184558014
8041,8041,789.7765189368819
48309,48309,779.2340930839325
9003,9003,778.4102129944438
48121,48121,770.0494059473659
36061,36005,765.4778503412055
29077,29077,758.7243866591118
13067,13067,757.9627991422542
6037,6059,754.8010043973634
6029,6029,753.7138185153548
47065,47065,739.3437014770944
11001,11001,737.6642197619971
17113,17113,730.8454907450157
27053,27053,725.2549489472606
53053,53053,722.635673693702
19153,19153,722.4098387963393
31055,31055,715.4513983889542
9001,9001,713.2827555290903
6111,6111,702.2606519739884
35001,35001,697.3968167726181
12103,12103,679.8428880568828
48157,48157,654.7618497524271
47093,47093,654.2071413229997
47187,47187,648.0420737343752
36119,36119,638.3457742864528
17043,17043,636.0907846844782
18157,18157,632.980461867596
13151,13151,627.859049063935
26161,26161,624.9993393190862
34003,34003,624.6930258969635
1117,1117,613.9026858047041
12073,12073,612.9507148939417
42071,42071,610.9610109987069
12105,12105,599.6515244037847
45041,45041,598.9097987966495
48085,48085,597.2967685113682
18097,18097,594.231906749361
47149,47149,593.8664416317644
31109,31109,592.3041006188994
17097,17097,576.8741595729338
18105,18105,572.5430687399405
34013,34013,567.1622099440838
48215,48215,562.7636264859282
26081,26081,560.6788672160926
12117,12117,555.8615511440856
34025,34025,546.2802114521872
12071,12071,539.0520837243089
34039,34039,534.1115268264808
1101,1101,530.1861312176046
22033,22033,526.1295846098195
39061,39061,525.5213478732893
25009,25009,524.6078110728913
36055,36055,515.8940051977792
1097,1097,514.6440679147059
1081,1081,513.7345282340336
23005,23005,495.50348542706143
12127,12127,494.23012073190125
25027,25027,491.8733938445722
32031,32031,486.3033836544677
18141,18141,484.9363583763126
25013,25013,484.0395234303609
34007,34007,483.7877919086055
24005,24005,478.8177888220434
47037,47037,478.0601568203243
25021,25021,472.1315195237708
13089,13089,466.55895101503296
51810,51810,452.0278958648249
6019,6019,450.1764177965927
44007,44007,449.68540234211184
48491,48453,444.35421785783564
5119,5119,441.001293105289
22017,22017,440.25655658554314
48201,48157,438.5555344293782
41051,41051,434.56404328619783
53061,53061,433.55994301167783
45019,45019,431.4604707400628
8013,8013,428.5353495097664
13115,13115,427.8218108417707
42017,42017,426.6813863471689
42091,42091,424.8478210771243
24510,24510,419.20552856586477
12009,12009,419.1378498591211
45079,45079,418.8625204987745
5045,5045,418.4392744955603
51059,51059,418.1627597183237
48423,48423,415.01981260774033
33011,33011,409.51274286052285
34015,34015,407.00121974240255
39151,39151,404.3001561672081
55025,55025,401.5797792312075
41039,41039,400.24055272481536
6079,6079,393.91150990852697
6059,6037,393.06704491289133
51770,51161,388.073704059751
42133,42133,387.78176165386037
6097,6097,387.5662585263868
13077,13077,380.6471327793794
22019,22019,379.60855485436247
45051,45051,376.99279609348986
19113,19113,375.6945762341951
49035,49049,373.8539187698757
2020,2020,372.88852041978777
29183,29183,371.3840252265944
6007,6007,366.5064862986209
36047,36081,357.3183225870777
18063,18063,353.77241472413016
1089,1089,352.50338441411463
6001,6013,349.3797676097126
42003,42125,343.5191164710361
48113,48085,343.37345953057616
36047,36061,342.9660641879298
53033,53061,337.1345998513609
45045,45045,336.52072064787137
39173,39173,336.45364949414505
55079,55079,335.6684802144065
36061,36059,329.06649372062617
20091,20091,320.00975403151483
6037,6071,319.37778015035974
18003,18003,317.49924871615417
6099,6099,317.17953113933066
8077,8077,314.87336976071475
41029,41029,314.859242959235
13059,13059,314.54873743622335
48303,48303,311.92196051659937
34001,34001,311.52475940814213
8059,8059,310.3026606465594
49035,49011,308.356064874463
55117,55117,308.29278742612684
12033,12113,304.7461116045391
48339,48339,299.4266883012224
13215,13215,295.81038310839995
42029,42029,295.2365978849318
21035,21035,293.867314437121
8069,8069,292.94263502942033
34005,34005,289.851211990782
1003,1003,288.02920099764185
48201,48167,287.85662809424184
51770,51770,287.54164196252486
39041,39041,286.7300428763798
42095,42095,286.27401506506624
55133,55133,285.45147246850865
45063,45063,281.3599959824448
19103,19103,280.8798325844316
34027,34027,279.2229482019186
22103,22103,278.80659159957173
17031,17043,277.2392755427452
45091,45091,275.47243124724645
6041,6041,273.66918929878153
42079,42079,272.14267785567824
53073,53073,270.3437822946682
49057,49057,268.9813544906624
18057,18057,268.8770496168487
6095,6095,268.208028294019
26077,26077,267.814247319723
36061,34017,264.9128578676582
36067,36067,263.86577737300115
34017,34017,262.18626108814675
37021,37021,261.6712944254849
6071,6037,261.5388226654179
26065,26065,258.25052144162447
36087,36087,254.6799156109369
37067,37067,254.6747511128933
5131,5131,254.17812498921063
13051,13051,254.10320092727028
47165,47165,249.89784527396844
6071,6065,249.6250233398878
36061,36119,249.28269931438967
20173,20173,248.86023887353628
28073,28073,248.64967688480684
51153,51153,248.41522792757058
42045,42045,248.3026211204443
36061,34003,248.0496164434495
40027,40027,247.326495136416
36005,36061,242.4951950725449
28071,28071,241.78501553488846
39099,39099,241.14608003095373
13153,13153,240.7795494635153
53033,53053,239.8163169734946
34023,34023,239.51161580219917
37081,37081,237.45539122664195
34021,34021,236.81621781352462
19013,19013,235.86817248715587
37101,37101,232.83198980022183
27037,27037,232.47468845974976
42011,42011,232.2941567845609
55127,55127,231.37865106775538
6083,6083,229.95122349443372
25025,25017,229.06197282890042
48157,48201,228.7339949041205
42077,42077,228.3299372697452
17089,17089,228.07049792799828
12069,12069,227.49584168437588
37035,37035,227.18451582685847
17031,17197,227.16839277325042
6081,6081,226.73702925024185
47113,47113,226.63116541698486
37051,37051,225.71588896654282
35049,35049,224.91718850754646
6087,6087,224.4983033515028
1073,1117,220.097147278324
4019,4019,219.73920079856202
37025,37025,218.34484700397084
13117,13117,217.6525035117427
37189,37189,217.4311286257676
22051,22051,216.05482486885293
24003,24003,215.4842363654482
22071,22071,214.5012022698321
37099,37099,213.10281666063773
48453,48491,212.8560676805724
17119,17119,211.92508159794303
8101,8101,211.70026616672482
19169,19169,210.8359323900547
27123,27123,210.7637923177388
47179,47179,209.02225804952351
36081,36061,208.79900522582585
16001,16001,207.9647130963481
39041,39049,206.6522831541476
12019,12019,206.63422447019923
49053,49053,205.614616119108
12011,12086,205.38717005668838
53035,53035,205.11543064920497
26163,26125,203.83740804075939
27145,27145,202.97626457281692
29031,29031,201.0035334995087
34031,34031,200.7085084912846
12117,12095,198.55940422583257
46099,46099,197.55534203736127
24025,24025,197.15030008602523
12091,12091,197.01973385509064
12097,12097,195.54113795557686
12101,12101,195.3625809292704
33017,33017,195.3322429598444
12081,12081,195.1795380426909
36061,36103,194.6604607881484
39157,39157,194.26207249176156
26055,26055,193.80731965851018
6037,6065,193.51595204724092
42101,42091,193.26484800464308
29510,29510,193.00338891449246
12031,12109,192.9908094563572
6061,6061,192.84328177389344
45041,45031,192.32914670790524
41067,41067,192.16778109636545
36061,36085,190.82790591901008
17031,17097,190.22963543016255
48027,48027,189.87531344009892
9011,9011,185.81267187600392
37001,37001,185.7112426730517
12086,12011,183.70132850079582
48347,48347,183.6814454578159
13089,13121,183.38820117126838
25017,25025,182.18532317747108
31055,31153,182.06001694781062
34029,34029,181.27768820256568
12115,12115,180.6714494586453
53063,53063,179.94275565419719
6023,6023,178.77882339033175
1073,1115,178.67707384238028
21227,21227,175.91294336539747
9009,9001,175.42343543574268
45015,45015,173.99530390772068
13121,13089,173.57246272127728
53005,53005,173.01781290281215
39113,39113,172.92630501876306
13135,13121,172.91092743450523
22073,22073,172.33526622487716
49005,49005,172.2455331320906
21059,21059,171.93765650012887
6037,6111,171.61407014334722
36027,36027,171.4315944093352
48183,48183,171.31723578506737
42019,42019,170.3094436349443
17163,17163,170.2943611279553
18089,18089,169.754642589356
8031,8031,169.45688815775543
34015,34007,169.35314973510387
48085,48121,169.1332904533043
