origin,dest,count
6037,6037,7401.079438132103
17031,17031,4314.480293433825
48113,48113,4047.8070642840253
48201,48201,2874.4658780638238
48029,48029,2675.227735874892
39049,39049,2429.5297714098715
12073,12073,2230.953744058956
4013,4013,2199.4105256581383
6073,6073,2179.096552801891
1125,1125,2097.4817956361762
1081,1081,1919.5453670291242
6059,6059,1914.4536080631956
12095,12095,1846.4800960217685
53033,53033,1510.3443145390424
12011,12011,1472.7415056375553
6065,6065,1425.456399628105
28105,28105,1357.7721924345822
48121,48121,1325.240794036742
6085,6085,1250.063707449906
36055,36055,1215.031810062626
48439,48439,1213.995532092767
28071,28071,1196.7792559628806
12001,12001,1193.0535177271304
26163,26163,1187.070613549943
36061,36061,1185.122289006421
12086,12086,1172.721215240589
39035,39035,1148.2866650907065
39133,39133,1135.8992159176426
5143,5143,1118.7962667867578
6001,6001,1111.081235485815
17019,17019,1048.4265756791524
26065,26065,1024.5052359281833
36005,36005,1018.715056777702
6071,6071,1002.6673630956133
36059,36059,971.2491218241008
18157,18157,953.1960989447203
34021,34021,936.5586953356143
39061,39061,933.4711786153888
48303,48303,921.372788537862
48113,48085,920.279501935395
6113,6113,898.3754765271582
37119,37119,893.2147716147027
42101,42101,883.6759211510858
48141,48141,879.1306976437214
36047,36047,871.2566078052549
6067,6067,864.8340747497011
49049,49049,841.1791606867621
24033,24033,825.6582934885753
48041,48041,817.1145477512697
25025,25025,813.8757373584854
29077,29077,812.4723570709543
11001,11001,797.3971029182871
55025,55025,772.6037360372068
40027,40027,769.6722538218504
27053,27053,761.1505349287606
13031,13031,760.8928415116576
13185,13185,755.2229061661525
22055,22055,752.7729197233214
12057,12057,743.9775900853888
1101,1101,742.0974717425643
39009,39009,729.5150452189163
8013,8013,722.7545245400634
47093,47093,718.9789495389722
13067,13067,702.8834166278316
36103,36103,698.8509975365038
40109,40109,695.6303748942858
27123,27123,674.6153390167434
48113,48439,668.1911635898563
25015,25015,644.0372882994297
34013,34013,639.0188123550959
37183,37183,632.2280725919635
36081,36081,629.8254599521432
4019,4019,625.0404318417035
37081,37081,614.6493070028462
34031,34031,605.3947309975873
36085,36085,590.4785615237131
20091,20091,585.8191777249351
21111,21111,583.9599840322447
18105,18105,578.5060592834602
9003,9003,564.0609253428337
53053,53053,554.3209721389732
17043,17043,553.4397421805354
12031,12031,546.5450599387524
34003,34003,545.4681346493559
26125,26125,544.8139812722637
25017,25017,534.1114977508242
9009,9009,530.7608969765702
9001,9001,529.6538010240673
32003,32003,527.6594152844052
34023,34023,527.6095447341924
13121,13121,524.2754244387713
48113,48121,506.66980326533945
39113,39113,497.9985253710267
48309,48309,495.3183893781591
12099,12099,490.6300852219403
6037,6059,485.3180231009808
29019,29019,481.72609037674056
47037,47037,481.2188233387419
26161,26161,476.2446847509562
37051,37051,476.10981346601903
44007,44007,475.55619147211036
40119,40119,473.59930799085123
49035,49035,472.00158390687034
12033,12033,464.30958069986144
25027,25027,459.54092426395033
48215,48215,455.17882366580454
13045,13045,454.2052452048162
42071,42071,453.0833356554603
6019,6019,451.6336233806919
22061,22061,446.9507090936506
40143,40143,438.55365307534254
37135,37135,438.0444509432494
36119,36119,413.6387465908757
42027,42027,404.49210778746476
5119,5119,398.8267723255663
37147,37147,398.8011617279028
36061,36047,396.36265559165884
6047,6047,391.48808698168295
18097,18097,390.18763553278734
1073,1073,383.8593183569145
24510,24510,369.3059344009842
30031,30031,365.695788691448
36029,36029,364.9926882100662
18163,18163,363.8061084606043
53037,53037,363.4226650800375
48423,48423,362.8568212979997
41067,41067,360.85974842361617
12095,12117,357.33127923964895
42003,42003,357.01352036736296
6059,6037,351.12838684032243
41039,41039,350.79430100222044
32031,32031,350.77463291923766
27123,27053,349.1361123611805
26107,26107,349.00252439547165
36061,36081,347.54379478564806
34007,34007,346.240827431832
42129,42129,338.8866297875172
48201,48157,331.8124166395555
29510,29510,317.8225651628333
51003,51003,315.5091622484718
39133,39153,314.2417109866205
13051,13051,313.2010054746184
15003,15003,308.3956870087823
6037,6071,307.04526541446097
31109,31109,305.38188952180764
47125,47125,302.9803537255793
26081,26081,302.72350826461036
36071,36071,301.37688018721883
48479,48479,298.85958116289453
25025,25017,292.43112092838794
20177,20177,290.8230413656558
26073,26073,289.3588062330742
13021,13021,286.1667571804818
39049,39041,279.0520134556845
51680,51680,275.97573155996946
1081,1073,271.4456224003946
18141,18141,265.2200413392006
17031,17043,264.9071831645552
47141,47141,263.4604654995726
6079,6079,261.79323410724135
1097,1097,259.5439680017119
51059,51059,259.05390235179243
36059,36103,258.0610155646363
1125,1073,258.04370759181376
17037,17037,256.71011247637284
25005,25005,254.30947591040191
26163,26125,253.46313928893048
51760,51760,253.09123751021409
29105,29105,246.3874531110532
12103,12103,242.37983933966885
8041,8041,241.09367077644185
42079,42079,238.68087409402347
17113,17113,237.38252588887482
