origin,dest,count
32003,32003,36852.888315819284
32003,6037,7800.824466161234
32003,6059,3050.1582902432174
32003,4013,2987.065147451922
15003,15003,2914.7326829487565
6073,6073,2345.971076702402
4013,4013,2290.100496846669
32031,32031,2276.117697691553
6065,6065,2250.637939377133
12011,12011,2199.7076798305134
32003,6071,2146.9231380859233
32003,6073,2145.3531273627327
32003,6065,1917.329027582634
12086,12086,1869.173318195859
26163,26163,1836.6387286891736
17031,17031,1683.8264863459326
6037,6037,1675.6426171079197
34001,34001,1369.3071001493415
12057,12057,1362.298429474623
48201,48201,1248.8274202237005
53033,53033,1211.0532182453994
48085,48085,1162.8364949950674
32003,4015,1108.5340119779794
30111,30111,1087.0038524954423
32003,48201,1080.6729742291452
32003,17031,964.8647256303607
32003,6085,936.4182601542343
32003,15003,916.6467691825212
12011,12086,908.4067596200031
36029,36029,878.7225472205861
32003,53033,820.7430633116526
6019,6019,816.7004535396727
53053,53053,815.5880814605352
26163,26125,787.0204235245683
32003,49035,750.5449567391354
42003,42003,745.3743421722835
26163,26099,729.6236045477539
32003,6001,716.5103175024983
36081,36081,691.4016248048001
12095,12095,679.9866493910126
40079,40079,656.2326127386442
32003,48029,652.6720848764679
6065,6037,640.5271687683432
48085,48121,609.1079658700321
32003,6029,608.5787328709105
32003,48439,580.7443054733167
34001,34029,573.44914092064
40079,5131,572.065751655545
6031,6031,566.835599586831
18089,17031,550.3935289302723
32003,6111,548.8917150384028
28047,28047,548.3985467383119
32003,48113,534.17619080239
19061,19061,524.7828995409049
32003,6067,505.43701146261805
12011,12099,501.1694191689682
55025,55025,480.07423913026736
22019,22019,468.48473533897067
32003,12086,447.90543208059324
32003,6075,447.7191596219095
32003,6013,445.40405906398337
30013,30013,444.0640016050365
53061,53061,427.5309939883082
6067,6067,424.87074631807815
32003,48085,421.6942361086717
34001,34025,418.4976518891981
12057,12103,417.6548957137287
6065,6071,415.9654592339698
24033,24033,410.8994049828576
34003,34003,409.1919410638314
32003,49053,404.47733885604913
32003,4019,402.80088672789566
30029,30029,400.3555939910508
48141,48141,398.33198939810114
6031,6107,389.7967725568885
4019,4019,387.4299169615242
32003,6081,379.8361536073186
32003,6019,376.50985970225236
6059,6059,376.1396314438415
40143,40143,373.19722180860316
22019,48201,367.20067207543747
27139,27053,359.4767045168006
36081,36047,358.89084255877367
32003,48453,358.6010933173761
40013,40013,355.48849860306916
32003,36061,350.6712086476983
39049,39049,349.1194698092497
48029,48029,347.6706247097838
53053,53033,346.2280693860472
12057,12101,323.5695659777285
40087,40109,323.4556570261753
32003,49049,320.5482910434188
6031,6019,319.65584010877745
22015,22017,319.5777726274073
53033,53053,316.8601308614138
8047,8001,315.4652048721186
36061,36061,312.19162623848746
32003,53053,311.6338233778415
32003,27053,311.31449916295514
48453,48453,309.9116272546418
32003,48121,306.25853242725435
32003,26125,305.2739494313549
24033,51059,303.2503622875542
32003,12011,302.55969360482084
46099,46099,298.36373656613017
39061,39061,296.91492708073207
40125,40125,296.50475913565595
34001,34007,296.39667011090967
29189,29189,296.07342875910206
32003,12095,295.2152366624348
32003,35001,294.8959124475483
22015,22015,288.49084119228627
6001,6001,278.8522497177203
8047,8031,275.89620563902
32003,53061,275.8961216618103
6037,6059,271.8429476046606
32023,32023,271.4575562459304
34001,36047,269.55721200121707
8047,8059,268.38748168966805
32003,6077,266.84860224003023
32003,26163,260.6750007522274
32003,13121,259.21143143399826
34001,42101,258.15353440806666
6023,6023,257.35099074722785
40013,48113,257.2850405759449
6013,6013,256.05758062005333
32003,48157,255.88513752893206
12057,12105,255.84095706024215
32003,8041,255.6456443677673
34001,36085,255.20985190571324
32003,8005,252.7717264337901
28047,28059,252.07274739333909
34001,34023,251.9693274703494
32003,48215,250.88239149571248
42027,42027,250.27838123852254
32510,32510,249.64388751805959
24003,24003,248.81950304564253
35043,35001,248.43734930996368
48201,48339,247.6091893460257
12127,12127,247.52893904486572
32005,32005,247.34327426430664
36119,36119,246.355511307847
40085,48439,245.4501802261137
19155,31055,244.7541251463157
37081,37081,244.728441848148
40013,48085,241.9086070627329
32003,8031,236.5394121770671
40125,40109,235.5188095508224
32003,48141,231.6431075488097
