origin,dest,count
6037,6037,10107.67539604094
48201,48201,6306.515252558274
48439,48439,5037.349113732574
4013,4013,4732.389511340679
48029,48029,4673.383697404677
17031,17031,4132.578145284685
6059,6059,3484.131901205993
20091,20091,3115.668543704638
32003,32003,3071.4948768917748
6073,6073,2797.0968732422716
12086,12086,2492.4310065443547
48085,48085,2303.690806742733
6065,6065,2226.828820175949
48215,48215,2207.8547452029607
48113,48113,2053.8319013877717
6071,6071,2042.1126680353009
26163,26163,2026.1688394953119
12057,12057,1960.2185932769848
53033,53033,1926.0398769987867
36061,36061,1904.6002342063625
36103,36103,1878.5103873366204
40143,40143,1764.6000652854066
47157,47157,1746.8950237028491
48453,48453,1594.3879922342685
48121,48121,1586.1800917004598
1073,1073,1548.8192826791928
12099,12099,1540.925651298904
29189,29189,1496.7978700113492
48157,48157,1445.9526566915508
26125,26125,1394.2475238339935
4019,4019,1371.0849163846722
12095,12095,1364.3681325466182
25017,25017,1361.8800777963734
37119,37119,1336.968024577094
6067,6067,1319.9482710836485
21111,21111,1284.8294057237472
13067,13067,1281.6996606087594
12011,12011,1248.2201917076773
12031,12031,1243.9106517931248
26099,26099,1189.7568352196788
40027,40027,1146.5284771021218
34025,34025,1113.2689492273387
42003,42003,1107.9686518001483
37183,37183,1092.0433376232518
48141,48141,1075.7104463283104
48355,48355,1045.0793580273962
13135,13135,1029.1881656541775
48339,48339,1023.5899228828407
48041,48041,997.3770984921359
19153,19153,995.752087621976
6001,6001,969.458245467301
49035,49035,953.880763617692
29077,29077,948.1250609932993
34029,34029,935.1031689894676
31055,31055,931.9602016463922
20173,20173,911.2904136998576
36047,36047,898.2291276234997
29095,29095,890.6625296962758
40109,40109,887.6441713158888
17097,17097,878.9050862915085
55025,55025,875.1918322660225
29183,29183,862.2199102663162
5007,5007,859.7386293214355
6085,6085,848.1823086293796
9001,9001,825.001063186485
1089,1089,822.431755584647
39049,39049,793.2406783166568
17043,17043,790.8152346342457
48367,48367,789.5826949379359
6061,6061,779.3863815628778
53061,53061,760.3554781303209
47065,47065,757.4822309582727
42045,42045,748.1084147967592
48423,48423,741.0734987915612
8035,8035,726.196136375315
22103,22103,711.6421385081306
17197,17197,707.3830070605032
48139,48139,707.2817747936076
6081,6081,698.2379647425586
18097,18097,695.5384908252122
42091,42091,692.9037846795669
12009,12009,692.2123990020607
36059,36059,678.9520204620943
12117,12117,671.5554315410616
27037,27037,668.0221566274745
6019,6019,660.2571424022561
37081,37081,655.8307200985972
48201,48167,650.9636885181961
48257,48257,648.2449002482376
15003,15003,643.0057788638618
18057,18057,626.7504822673814
35001,35001,624.0755052272767
48303,48303,605.5780049124045
6029,6029,605.3261737351704
6099,6099,604.4268154591232
55079,55079,601.0431412907842
45083,45083,597.2616095693022
51041,51041,593.7032301719404
27053,27053,587.8679427538369
12127,12127,587.3951047671924
6013,6013,586.0658314407206
41067,41067,584.8452410034425
5119,5119,579.6459632057367
48085,48121,577.203072497732
48157,48201,573.056957081359
39113,39113,569.1726716846409
12103,12103,555.596162254874
6111,6111,544.6635201158609
13117,13117,541.9228190235586
48309,48309,539.6752399282317
55133,55133,534.5227095632258
48479,48479,531.271943628569
6059,6037,520.7185202940548
47037,47037,519.2942842079234
1125,1125,519.178911490707
39017,39017,519.0560497065969
9003,9003,517.5517198473711
39061,39061,515.2762200859736
48061,48061,511.9435438654263
17019,17019,504.8996249062729
8041,8041,495.2572338940635
26077,26077,491.461616732676
51810,51810,487.9871292649048
49049,49049,486.22317105723806
6075,6075,481.2137212787574
36081,36081,478.5170710914879
12033,12033,475.8132783882525
48339,48201,473.8940529947992
20091,29095,472.2947054864799
18089,18089,470.35934242167593
36061,36047,470.3360942117882
1103,1103,465.99228396347183
12057,12101,462.032320843582
17201,17201,455.8084271777847
42101,42101,454.7423984598491
41051,41051,450.2560244542891
18003,18003,449.87555373710677
8069,8069,448.8503004243374
34023,34023,448.0516930381614
22033,22033,447.9094621542367
13121,13121,445.2804027922779
48453,48491,442.2685773203125
8059,8059,441.21964006599853
39035,39035,440.1322059294486
21067,21067,439.9872058462647
26049,26049,436.7277113305368
17113,17113,431.904479724604
42029,42029,431.0507244283635
24005,24005,425.50939796005235
47093,47093,423.6443533646862
12101,12101,422.1749436759215
42017,42017,421.93394393280266
1003,1003,419.61082135483434
1097,1097,411.8652325420668
12001,12001,411.55854455135085
28121,28121,407.86253332390714
48439,48251,404.80458905986086
48201,48157,403.5364204629449
44007,44007,403.4456106983278
34039,34039,402.62472628949365
48027,48027,397.42072653039986
36085,36085,396.755688192728
24031,24031,396.44149553086015
1073,1117,392.83660544047996
1117,1117,390.73726742445916
12031,12109,390.08747009362924
36119,36119,388.3779632581554
48201,48039,387.1654232067074
48439,48113,385.8861830861392
48381,48381,385.83695704658265
36103,36059,385.40002018633436
6037,6059,384.21236143335403
48201,48339,384.02548325676764
22051,22051,382.10290162659385
26161,26161,379.76752417857284
5143,5143,379.3958444980539
19113,19113,379.3072250220246
36029,36029,379.10614264258794
36061,36081,377.54206903989785
45045,45045,372.4413242669229
36055,36055,368.8182716908016
48245,48245,368.5292868586482
17163,17163,364.86857763539683
26145,26145,364.08498652650985
17043,17031,362.4534864521256
26081,26081,361.62984713191804
53011,53011,359.40495949473717
31153,31153,358.51759340292966
45019,45019,350.67733745293765
24027,24027,350.57159106115637
48113,48085,345.95585429382675
37067,37067,345.49114244002874
26163,26125,344.87680785250467
12071,12071,341.05708148896304
26093,26093,340.54530401690573
26065,26065,340.47849807016
34007,34007,340.38551817807513
6089,6089,339.49089852988703
39153,39153,338.6810630450239
13151,13151,338.3863222211563
27163,27163,336.8232185797421
28071,28071,336.8178289308445
6095,6095,335.87646882114484
34021,34021,335.05345678972543
40017,40017,334.2756317713682
32003,6037,331.7309070473432
25021,25021,329.6098442484294
53053,53053,325.42189347472214
34027,34027,323.60867034143837
48183,48183,322.8965973001285
9009,9009,321.7043530749992
18141,18141,318.89088224629415
29031,29031,318.1835563374279
21015,21015,316.48586339900413
51550,51550,315.91714679826293
34003,34003,315.7545284977185
28033,28033,314.57278368521986
12073,12073,314.57038043256193
24033,24033,314.09520458887863
5125,5125,311.60012466152864
48121,48439,309.536407339592
55087,55087,304.97106694206207
41047,41047,304.8321020859176
12117,12095,304.461955792886
4005,4005,303.5302491690955
48441,48441,301.499552515574
53005,53005,301.46692877008996
17111,17111,300.945270796656
13051,13051,300.85483811598067
29019,29019,298.8858891791369
13057,13057,298.1427804082832
27163,27123,295.2023999227576
38017,38017,294.0720948316549
20177,20177,293.2056555348123
55009,55009,291.842637043807
48113,48439,290.2806632711796
42071,42071,289.9459399316727
29183,29189,288.5685340716784
6079,6079,284.58362673494116
21227,21227,284.26356832785154
22055,22055,283.44048221111353
47155,47155,279.02233296811767
22079,22079,278.51701672271184
34035,34035,275.84964580069595
39093,39093,274.12826108190114
17119,17119,273.7524958827609
