origin,dest,count
6037,6037,8468.456562166608
48201,48201,4313.4286580802145
12086,12086,4136.2354536830435
17031,17031,3727.523288273413
6059,6059,3718.6203807208813
36061,36061,3540.630715007569
4013,4013,3046.8815925606964
6073,6073,2445.0266847794487
36059,36059,2229.1795468774303
36081,36081,1985.326944095942
32003,32003,1768.5285782441827
12011,12011,1739.2608307502396
36047,36047,1615.628593126087
6065,6065,1582.4397943160238
48029,48029,1465.4557719548266
48113,48113,1409.8320766624006
12095,12095,1305.0830994906605
6071,6071,1252.668797602811
36103,36103,1224.4152714336326
48453,48453,1100.8047736869794
12057,12057,1083.8694948760383
34003,34003,1019.0909348530928
40143,40143,1005.4413021513727
15003,15003,964.5611261141445
12103,12103,955.121020018344
53033,53033,934.2141584747992
1073,1073,909.072308702722
6085,6085,900.0004224601337
25017,25017,890.7871288400585
5119,5119,889.0104422147765
48215,48215,880.7327850423642
42003,42003,871.9779573509618
48439,48439,870.1149252017116
9001,9001,865.4405592844213
42101,42101,860.4801567355416
47157,47157,829.4494594027367
36061,36047,825.4266825103406
17043,17043,802.9292414300135
48085,48085,801.8505245929716
39035,39035,781.9935047747197
20173,20173,770.3291849812929
36061,36081,753.0160676090998
26125,26125,751.0708269796112
37183,37183,740.8625575283662
12071,12071,728.9639780685711
37119,37119,727.3000302451549
12099,12099,725.1393626051732
39049,39049,712.4439222771335
6001,6001,706.6403957830847
29189,29189,689.342947169658
6075,6075,677.9334929782157
18097,18097,674.2604784249642
29095,29095,665.3786085788469
1089,1089,661.1160965278223
22033,22033,642.9920149698756
45045,45045,637.5603470371999
27053,27053,637.2366137767822
19153,19153,626.0958668347705
36119,36119,603.6580071466441
40109,40109,602.6887724490299
12031,12031,598.1072892533327
6067,6067,596.2117171754368
24031,24031,594.9632777836011
36005,36005,591.8477445437222
12117,12117,586.6416283786375
34013,34013,580.0654215109097
6081,6081,575.0487369091984
47037,47037,570.7502511061427
31109,31109,554.0810885536157
42017,42017,552.649083165411
34039,34039,548.7756714742434
47093,47093,547.8593086665854
13121,13121,547.5046953348619
13135,13135,526.8739912904812
6059,6037,518.4434465502642
34029,34029,517.4067841345125
12127,12127,514.6559903259864
36029,36029,510.76926921704614
1097,1097,508.7947094857362
22051,22051,497.1595109220393
12033,12033,495.43754230547586
26163,26163,485.49140747206184
49035,49035,478.2646932614586
6013,6013,468.81690232009385
6029,6029,463.8949526649445
48479,48479,461.20347000280174
36061,36005,453.32304570005164
25025,25025,437.78262901163697
6111,6111,426.25134800747765
40119,40119,425.3124795626748
13067,13067,421.4624046458612
20091,20091,417.85028871615714
8041,8041,417.0299825149688
26081,26081,410.0939752917335
48061,48061,407.1330650940952
39061,39061,406.22553565204254
24005,24005,403.99291379948653
6099,6099,402.4201834359858
25005,25005,395.8084721239631
51059,51059,391.0169834989917
22055,22055,389.78957335722816
42091,42091,383.1823039178277
12009,12009,381.6620675042504
37081,37081,380.3664451489119
18003,18003,372.3998508478794
55133,55133,357.44952971763496
34025,34025,354.7162659167242
9009,9009,352.2654748346814
41051,41051,345.28670364477136
48339,48339,341.6702790160072
48157,48157,340.42767591044185
34023,34023,339.76125184496493
6037,6059,337.6045418436869
17197,17197,336.6508951340016
48469,48469,334.5191117274353
51810,51810,332.9931225404389
34027,34027,332.63808521014033
48423,48423,330.7062081143665
21111,21111,325.56493736641363
44007,44007,324.94305020212795
12115,12115,324.2637781031688
53061,53061,321.4697244548205
32031,32031,320.17641455293597
53053,53053,316.43851955387765
10003,10003,312.3043725685539
45063,45063,310.92290426041865
36085,36085,310.3128488956949
12005,12005,309.84201741550817
29077,29077,308.8640716725709
34031,34031,307.11098089659225
42079,42079,302.64130387468236
6097,6097,302.37491253004896
22109,22109,302.046964899731
16001,16001,299.86548668152227
39017,39017,297.06941109998894
34017,34017,290.79946829074026
24003,24003,289.93851109415056
6019,6019,289.39597955175185
25021,25021,288.12497758932585
1039,1039,287.0934867425425
48201,48157,286.6116042597072
48141,48141,285.1434677207891
45019,45019,279.4725250842478
